Origin,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Rep.,Chad,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Rep.,Côte d'Ivoire,Dem. People's Rep. of Korea,Dem. Rep. of the Congo,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (the),Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Rep. of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Dem. Rep.,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,Norway,Oman,Pakistan,Palau,Palestinian,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Rep. of Korea,Rep. of Moldova,Romania,Russia,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Saint-Pierre-et-Miquelon,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia and Kosovo (S/RES/1244 (1999)),Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Stateless,Sudan,Suriname,Svalbard and Jan Mayen,Swaziland,Sweden,Switzerland,Syrian Arab Rep.,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Tibetan,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Rep. of Tanzania,United States,Uruguay,Uzbekistan,Vanuatu,Various/Unknown,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands ,Western Sahara,Yemen,Zambia,Zimbabwe
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,-0.072726899,-0.161015634,-0.137700383,,,0.002934553,,0.058744807,-0.122045397,-0.053961355,,,,-0.084821441,0.058744807,0.501058644,0.323605941,0.25412003,0.38215924,0.058744807,,0.09709308,,0.003455577,0.516224346,-0.155062,0.25225711,1,,,0.115231951,0.326687188,-0.180199066,-0.190056727,0.193804632,0.191462986,0.25225711,,0.003455577,0.013072649,0.354662875,0.550660176,0.501058644,,0.233651435,0.003455577,-0.117290739,,0.058744807,-0.008028698,0.321297682,,,0.058744807,0.387536658,0.227360837,-0.133686058,,0.405988067,0.174579436,0.007849103,0.411988568,0.051944535,0.574706628,0.003455577,0.174821313,0.501058644,-0.155396576,0.491388701,,0.478197862,,,-0.065234252,0.449462288,-0.010997622,,0.2777744,,0.058744807,,,0.058744807,0.240660161,0.30109434,0.072309487,0.00566117,,0.140780986,0.058744807,,-0.01978046,-0.156626984,0.050867537,-0.053389723,0.483843027,0.48607536,0.158021628,0.256765835,0.437105731,0.543002598,0.388866954,0.024373145,,0.338470627,0.453569259,,0.551370675,-0.078686248,-0.190056727,0.328131254,0.135118268,,0.25225711,,0.003455577,-0.174773683,0.5071721,,0.390201031,,,,0.013228637,0.32992937,0.145988564,,,0.438748124,-0.183008723,-0.092773116,-0.192722256,-0.087837855,0.25225711,,-0.028449937,,,0.501058644,0.598859435,0.250970593,0.420844506,,,,,0.225197475,,0.551857768,,0.501058644,,0.210768072,-0.123630845,0.292494698,0.25225711,,,0.524614224,-0.184118806,0.535512011,-0.129734815,-0.108547162,0.473414029,0.248214953,0.157205493,,0.501058644,,,0.409980782,0.372870918,-0.18278026,,0.403864895,0.501058644,0.058744807,,0.501058644,0.314880968,0.31382622,-0.084180768,0.216526624,0.206885993,0.430775334,0.036309584,-0.055410794,,-0.082340313,,,0.192900486,-0.011689103,0.373012953,-0.182124056,,,0.3410325,0.483836509,0.25225711,-0.073628101,-0.087553916,-0.182173738,,-0.190056727,-0.115125357,0.340115847,,0.501058644,-0.07022904,0.389773631,,0.501331651,,-0.019871151,0.247900315,-0.140139486,,0.003455577,0.523102597,-0.04835296,-0.176571747
Canada,-0.029021447,-0.045506424,-0.080925945,,,0.001605335,,-0.066666667,-0.083907923,-0.108042013,,,,-0.095869479,-0.066666667,-0.066666667,0.134215172,0.848528137,-0.106715589,-0.066666667,,-0.115289367,,-0.066666667,0.110674738,-0.081822761,1,0.25225711,,,-0.095732042,-0.11457457,-0.060509929,-0.066666667,-0.088721395,0.058218762,1,,-0.066666667,-0.060585294,-0.096956071,0.072607659,-0.066666667,,-0.15841007,-0.066666667,-0.076860367,,-0.066666667,-0.086891496,-0.182039107,,,-0.066666667,-0.090726175,0.860236743,-0.077873947,,-0.109267046,0.629485379,-0.074473134,-0.095898382,0.067733076,0.021815205,-0.066666667,0.423752877,-0.066666667,-0.043397002,-0.070586521,,0.422443702,,,-0.089985591,-0.036694135,-0.103659164,,-0.039861774,,-0.066666667,,,-0.066666667,-0.107816686,-0.123359539,0.050516397,-0.069282503,,-0.086497298,-0.066666667,,0.238647689,-0.068463938,0.521147971,0.086629253,-0.092703552,-0.175133482,-0.109991415,0.948621412,-0.097132373,-0.056035311,-0.107171152,0.209807307,,0.971625413,-0.074344713,,0.683130051,-0.055688736,-0.066666667,-0.119188676,0.566928879,,1,,-0.066666667,-0.004557392,-0.043983307,,-0.113082852,,,,-0.070247442,0.96395677,0.283682175,,,-0.086833982,-0.071511856,-0.0743837,-0.068324811,0.209078647,1,,0.018231696,,,-0.066666667,-0.085547132,-0.122175215,-0.007165383,,,,,0.141564748,,0.169123855,,-0.066666667,,-0.118001854,0.003826799,0.900583418,1,,,0.022663658,-0.069170461,0.660515723,-0.091062978,-0.014691333,-0.066666667,0.795408431,0.340975205,,-0.066666667,,,0.433733704,-0.092964425,-0.078372187,,0.169357198,-0.066666667,-0.066666667,,-0.066666667,-0.019508455,0.903471851,-0.091927712,-0.119352479,0.358079948,0.228856811,-0.020659126,-0.085403158,,0.324604107,,,0.015081547,-0.096255061,-0.006232762,-0.071530249,,,-0.113076285,-0.07314869,1,-0.075454601,-0.017964294,-0.034290387,,-0.066666667,0.130687323,-0.1186643,,-0.066666667,0.089660552,0.245021869,,-0.019881896,,-0.103601687,-0.088199048,0.081215027,,-0.066666667,0.740683461,0.16625028,-0.022351633
China,-0.036126287,0.006654602,0.126463427,,,0.273712519,,0.026308025,-0.128345844,0.159633996,,,,0.060946039,0.026308025,0.91122845,0.206036278,0.078128647,-0.046700238,0.026308025,,-0.053702741,,0.282449549,-0.095324237,-0.015625874,0.072607659,0.550660176,,,-0.084787225,-0.003033731,-0.09087188,-0.126779475,0.614973233,0.177985128,0.072607659,,0.282449549,0.281829018,-0.049334731,1,0.91122845,,0.10416491,0.282449549,0.148587603,,0.026308025,0.016854081,0.037424405,,,0.026308025,0.090260665,0.209274111,0.13724654,,0.089302997,0.269431099,0.275535215,-0.041142432,0.071372386,-0.083386598,0.282449549,0.241738937,0.91122845,-0.090824482,0.906203595,,0.614713349,,,0.254146248,-0.058200363,0.090672643,,-0.099664443,,0.026308025,,,0.026308025,0.183240438,0.004443923,0.27210008,0.283942349,,-0.00843845,0.026308025,,0.140954356,-0.069110386,0.029247944,-0.028657726,0.841159368,0.300822078,0.138382844,0.090210944,0.741593855,0.074568428,0.017383453,0.101687085,,0.059508279,0.00447575,,0.720094298,0.021548525,-0.089938906,-0.041129753,0.049843517,,0.072607659,,0.282449549,-0.085618152,0.913925663,,0.036531402,,,,0.281415579,0.272493686,0.073673295,,,-0.088498611,-0.016284745,-0.02410708,-0.0886796,-0.027034515,0.072607659,,0.123935239,,,0.91122845,-0.126391354,-0.002411046,-0.032369163,,,,,0.047633996,,-0.046218183,,0.91122845,,0.395077934,-0.077437835,0.242606748,0.072607659,,,0.919521215,-0.023986446,-0.030125196,0.110454474,0.088150689,-0.108608113,0.162258887,0.054104575,,0.91122845,,,0.33120108,-0.052436136,0.008662869,,0.08912522,0.91122845,0.026308025,,0.91122845,-0.023755596,0.328317974,0.248172203,-0.048313297,0.511864846,0.060739635,0.27907681,0.238138079,,-0.057101037,,,-0.092501339,-0.051128021,0.594414514,-0.021455688,,,0.107430809,0.901074785,0.072607659,0.014981366,0.14658135,-0.022652317,,-0.123792402,-0.090053523,0.00202497,,0.91122845,-0.061877084,0.19725305,,-0.067594484,,0.245766221,0.167441504,0.020310923,,0.282449549,0.019014743,0.070847654,-0.081682885
France,-0.130320537,-0.131791814,-0.190157295,,,-0.104327821,,0.640479161,-0.056354834,-0.204895841,,,,-0.180675225,0.640479161,0.531461432,-0.089030634,0.713056377,-0.196321915,0.640479161,,-0.192495346,,-0.122644946,-0.047357121,-0.150527222,0.422443702,0.478197862,,,-0.176115766,-0.183896615,-0.114218441,-0.122644946,0.085495384,-0.125157847,0.422443702,,-0.122644946,-0.096250638,0.436009641,0.614713349,0.531461432,,0.453583579,-0.122644946,-0.171579486,,0.640479161,0.575312904,-0.15237208,,,0.640479161,-0.180804026,0.315118278,-0.163638387,,-0.053866969,0.192344743,-0.117470218,0.275586959,-0.078859363,0.047804625,-0.122644946,0.051671356,0.531461432,-0.129587582,0.525674563,,1,,,-0.165544169,-0.127041281,-0.203235011,,-0.179290267,,0.640479161,,,0.640479161,-0.203511279,-0.22694136,0.308984734,-0.098886195,,0.602505921,0.640479161,,0.111983948,-0.08662391,0.130349335,-0.076835034,0.79150062,0.39053157,0.63589141,0.602936883,0.846530404,0.072132764,-0.197160001,0.034053384,,0.518903443,-0.143107997,,0.698187067,-0.078506217,-0.122644946,-0.219268331,0.151918497,,0.422443702,,-0.122644946,-0.096616953,0.54164382,,-0.200838251,,,,-0.121483358,0.522257845,0.7564565,,,-0.148336845,-0.131558516,-0.167642008,-0.125695392,0.008463886,0.422443702,,0.053644994,,,0.531461432,-0.157378851,-0.224762589,-0.129250827,,,,,-0.083449317,,-0.000177284,,0.531461432,,0.071754849,-0.063391246,0.648418238,0.422443702,,,0.570302173,-0.127251112,0.207934276,-0.176838146,-0.055169943,-0.122644946,0.673579022,0.774016214,,0.531461432,,,0.762066735,-0.176111373,-0.143958258,,-0.109687655,0.531461432,0.640479161,,0.531461432,-0.177722929,0.659322294,-0.169117039,0.395225415,0.19100548,-0.044754793,-0.112058759,-0.157113984,,0.047561878,,,-0.183213871,-0.177077951,0.453299138,-0.131592352,,,-0.194326501,0.520726448,0.422443702,-0.175419243,-0.16793463,-0.109122765,,-0.122644946,-0.039498721,-0.257777043,,0.531461432,-0.059390429,0.814164147,,-0.086008005,,-0.190186685,0.135945483,-0.023837594,,-0.122644946,0.420560569,0.064189974,-0.098308623
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,0.263210069,0.242608018,0.138322568,,,-0.100550032,,0.919362206,0.0193503,0.127220309,,,,0.223011023,0.919362206,0.056033362,-0.195518719,0.390345843,0.134966171,0.919362206,,0.142668341,,-0.109991415,0.069410613,0.249265742,-0.109991415,0.158021628,,,0.269423526,0.004391751,-0.09839022,-0.109991415,-0.08325052,0.004620624,-0.109991415,,-0.109991415,-0.036097139,0.798100466,0.138382844,0.056033362,,0.78485765,-0.109991415,-0.156056536,,0.919362206,0.972470886,0.147378499,,,0.919362206,-0.141421701,-0.154575033,-0.145549801,,0.18339788,-0.16060358,-0.096519484,0.4514801,0.226906548,0.249331786,-0.109991415,-0.104118146,0.056033362,-0.070924981,0.049927645,,0.63589141,,,-0.106801428,-0.092845473,0.19368083,,-0.032506308,,0.919362206,,,0.919362206,-0.112121194,-0.060081302,0.396889333,-0.075768652,,0.920423868,0.919362206,,0.246063935,-0.104566837,0.142066736,0.252507157,0.493476717,0.717165199,1,0.172626439,0.653393296,0.28004201,0.098078565,0.126252692,,0.075183797,0.117591819,,-0.039493251,0.298997577,-0.109991415,-0.115480507,0.171683686,,-0.109991415,,-0.109991415,-0.117083274,0.053382362,,-0.148882106,,,,-0.100311349,-0.051320833,0.838071505,,,0.08130265,0.251764628,0.236797114,-0.112727141,-0.153133793,-0.109991415,,-0.096094539,,,0.056033362,0.052325372,0.004188038,-0.098155302,,,,,0.080450132,,0.087017127,,0.056033362,,0.107682465,-0.106478425,0.249938869,-0.109991415,,,0.046303843,0.254402868,-0.011018252,0.18492576,-0.03782822,0.089238318,0.376464962,0.821780913,,0.056033362,,,0.701040829,-0.048898273,0.240563188,,-0.101945388,0.056033362,0.919362206,,0.056033362,0.091955898,0.12331625,0.01621617,0.902842297,-0.141074419,0.09384883,-0.09963267,-0.140904212,,-0.146922162,,,0.16429945,0.266507128,0.175979472,0.253448362,,,-0.121102508,0.04564086,-0.109991415,0.224143345,-0.038082924,0.252108653,,-0.109991415,-0.108783388,0.144974529,,0.056033362,-0.120017352,0.865921839,,0.096437276,,-0.062234319,0.411914975,0.011240828,,-0.109991415,0.201639604,-0.126507635,-0.10977371
Japan,-0.126481509,-0.119258093,-0.164226369,,,-0.11718848,,0.609284884,-0.031527117,-0.164141841,,,,-0.144536852,0.609284884,0.750568336,-0.16520785,0.237268406,-0.155483076,0.609284884,,-0.149831838,,-0.097132373,-0.113951059,-0.119214584,-0.097132373,0.437105731,,,-0.139480205,-0.142047897,-0.093203529,-0.097132373,0.193059303,-0.179721068,-0.097132373,,-0.097132373,-0.079314075,0.427459978,0.741593855,0.750568336,,0.479562908,-0.097132373,-0.146812147,,0.609284884,0.55393605,-0.096270677,,,0.609284884,-0.147821272,-0.136503742,-0.137807016,,-0.02298617,-0.141827494,-0.090421902,0.278697941,-0.116667284,0.015876685,-0.097132373,-0.18561601,0.750568336,-0.118827395,0.746703123,,0.846530404,,,-0.13110771,-0.118861446,-0.165512911,,-0.175206135,,0.609284884,,,0.609284884,-0.163683065,-0.179733071,0.238304685,-0.074495651,,0.57901142,0.609284884,,0.003788677,-0.048644449,-0.142511394,-0.133050422,0.975699131,0.491354558,0.653393296,0.088283724,1,0.115313442,-0.156146824,-0.069662419,,0.000408555,-0.109065882,,0.478266153,-0.051279359,-0.097132373,-0.173656184,-0.155308555,,-0.097132373,,-0.097132373,-0.103395126,0.749204777,,-0.158497312,,,,-0.095176286,0.041024318,0.544902915,,,-0.111882885,-0.104191744,-0.142476496,-0.099548266,-0.101631805,-0.097132373,,0.076766718,,,0.750568336,-0.124640939,-0.178007528,-0.141691897,,,,,-0.166539564,,-0.100057808,,0.750568336,,0.133196733,-0.065346722,0.193943682,-0.097132373,,,0.743358992,-0.100780366,-0.142120955,-0.142662618,-0.070330912,-0.097132373,0.221459292,0.534828187,,0.750568336,,,0.554483848,-0.141472231,-0.114002721,,-0.219593964,0.750568336,0.609284884,,0.750568336,-0.190670578,0.224715496,-0.133937352,0.395215551,0.043410078,-0.170352782,-0.112187112,-0.12443117,,-0.129745564,,,-0.211039834,-0.140242237,0.561538767,-0.104218542,,,-0.152071306,0.742666098,-0.097132373,-0.152913097,-0.176384339,-0.100447101,,-0.097132373,-0.119938503,-0.218397191,,0.750568336,-0.11185498,0.658890443,,-0.083570823,,-0.15056972,0.131662107,-0.052575854,,-0.097132373,0.011772711,-0.00244671,-0.095262045
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
